Country Name,Country Code,2018,2019,2020,2021,2022,2023
Chile,CHL,295857562826.427,278598887622.96,254258196269.735,316581155648.871,301024724911.923,
China,CHN,13894907857925.9,14279968506242.8,14687744162801.0,17820459508852.2,17963171479205.3,
Colombia,COL,334198218100.719,323031701210.765,270150956772.57,318511813576.97,343622114560.409,
Comoros,COM,1188797449.96029,1195019531.03664,1225039195.93742,1296089479.45831,1242519407.27815,
"Congo, Dem. Rep.",COD,47568210009.8172,51775829877.2088,48716961860.1325,55328482783.5393,64718641221.216,
"Congo, Rep.",COG,14773806078.1348,13976661497.841,11468608530.2038,14825708810.7046,15816996654.5788,
Costa Rica,CRI,62420164991.5374,64417670521.1842,62395610760.3912,64960725734.2362,69243626028.6696,
Cote d'Ivoire,CIV,58522477744.5444,59898479821.2323,62982768371.6208,71811075955.078,70018715016.8293,
Croatia,HRV,61481309636.1289,61470295887.8384,57760024673.9359,69081236641.2469,71600049650.195,
Cuba,CUB,100050036096.123,103427600000.0,107351800000.0,,,
Curacao,CUW,3046364819.53197,3026124115.73275,2534327592.49914,2739594359.5908,3075180834.72417,
Cyprus,CYP,25523485042.6265,25947027570.4262,25227201184.2295,29482917678.8954,29250524418.0855,
Czechia,CZE,249000540729.179,252548179964.897,245974558654.043,281791218507.1,290565654835.809,
Denmark,DNK,356841216410.068,346498737961.635,354762748338.661,405687998852.691,400167196948.707,
Djibouti,DJI,2913466732.12507,3088853638.56832,3185150981.03207,3385825228.86997,3515108859.95465,
Dominica,DMA,554770370.37037,611537037.037037,504214814.814815,555266666.666667,607440740.740741,
Dominican Republic,DOM,85555390139.118,88941372558.2397,78844656298.1776,94243425938.3647,113537368176.13,
Early-demographic dividend,EAR,11504322295801.5,11743140069350.9,10941489484842.6,12716982787439.0,14148420366435.9,
East Asia & Pacific,EAS,26487849774769.5,27032674446875.7,27155249687649.4,31141271720840.7,30712490177155.8,
East Asia & Pacific (IDA & IBRD countries),TEA,16619858519557.6,17192007435430.8,17465796008751.6,20813163295456.1,21167325456079.4,
East Asia & Pacific (excluding high income),EAP,16640611153965.4,17213484850175.7,17487617929386.2,20839170495754.5,21193771562304.2,
Ecuador,ECU,107562008000.0,108108009000.0,99291124000.0,106165866000.0,115049476000.0,
"Egypt, Arab Rep.",EGY,262588632526.73,318678815489.749,383817841547.099,424671765455.704,476747720364.742,
El Salvador,SLV,26020850000.0,26881140000.0,24930080000.0,29451240000.0,32488720000.0,
Equatorial Guinea,GNQ,13097012124.2267,11364133546.2488,9893816016.147,12104994084.4108,12029633746.519,
Eritrea,ERI,,,,,,
Estonia,EST,30624720196.229,31081901909.2156,31370395572.7658,37191166151.98,38100812958.5196,
Eswatini,SWZ,4666598024.18411,4466214591.14854,3982236692.55236,4850842571.59151,4790922065.6101,
Ethiopia,ETH,84269196625.8784,95912607722.3032,107657734392.446,111261882958.426,126783471597.671,
Euro area,EMU,13760663487274.4,13480528531193.6,13154981793981.9,14754736438720.2,14207593902747.6,
Europe & Central Asia,ECS,23188460071899.6,22907909231787.3,22156584402676.9,25324876871395.7,25344209837077.1,
Europe & Central Asia (IDA & IBRD countries),TEC,4076953150706.89,4159143876282.08,3900173017455.42,4616362221588.67,5189746524698.23,
Europe & Central Asia (excluding high income),ECA,3183375960368.65,3250597309710.46,2991607694833.72,3580124604033.79,4129330109662.66,
European Union,EUU,15980992271824.8,15693432719569.6,15381174426002.4,17315218527836.1,16746544871112.0,
Faroe Islands,FRO,3188600927.46688,3266432734.22819,3262045883.37293,3655063937.93145,3555929833.05051,
Fiji,FJI,5581425324.91185,5444407214.31758,4432466237.09588,4305031630.81808,4979979546.0123,
Finland,FIN,275708001767.843,268514916972.549,271886077382.102,296470417085.267,282649838009.729,
Fragile and conflict affected situations,FCS,1735106586576.45,1838740662563.75,1666563897610.01,1782595197342.36,1906134056808.84,
France,FRA,2790956878746.66,2728870246705.88,2647418691598.45,2959355819170.5,2779092236505.85,
French Polynesia,PYF,6135116253.33452,6022276196.13871,5792545870.80614,6150640646.38319,5814661208.90544,
Gabon,GAB,16867326401.9626,16874405465.391,15314577154.8076,20217946922.4528,21071739224.8918,
"Gambia, The",GMB,1670671327.81651,1813609692.49994,1812170891.19069,2038414968.60683,2187194563.48605,
Georgia,GEO,17596922469.9152,17470436258.5131,15842922532.7202,18629365612.096,24780791063.7131,
Germany,DEU,3974443355019.6,3889177589254.9,3887727161914.41,4278503934689.85,4082469490797.68,
Ghana,GHA,67298913752.0241,68337974418.3315,70043095503.6675,79524421861.2743,73766052451.5256,
Gibraltar,GIB,,,,,,
Greece,GRC,212049447242.111,205252760889.364,188480337285.605,214667807441.202,217581324512.059,
Greenland,GRL,3055782146.15957,2997309971.87623,3082884653.2456,3235809504.29871,,
Grenada,GRD,1166514814.81481,1213485185.18519,1043411111.11111,1122800000.0,1215379155.67282,
Guam,GUM,6056000000.0,6366000000.0,5886000000.0,6123000000.0,,
Guatemala,GTM,73328365862.4329,77172317258.6478,77715183063.2054,86053083476.0294,95003330315.8754,
Guinea,GIN,11857030367.2441,13442861496.4128,14177835841.3923,16091817842.1318,20999229260.4955,
Guinea-Bissau,GNB,1504630233.68158,1439638410.99683,1431758231.68522,1638517606.89496,1633559092.08861,
Guyana,GUY,4787637005.53562,5173760191.84652,5471256594.72422,8041362110.31175,14718388489.2086,
Haiti,HTI,16403864522.0538,15016090929.5125,14508222518.3018,20877414952.6375,20253551884.6055,
Heavily indebted poor countries (HIPC),HPC,774573998850.907,802980678249.156,811638956819.199,901695869344.623,980688371242.572,
High income,,54836830985504.0,55313082529074.3,53962245346670.1,60245547578675.2,61729512123777.8,
Honduras,HND,24067750760.499,25089937021.5418,23827859226.8834,28488721680.8502,31717699764.3621,
"Hong Kong SAR, China",HKG,361731070995.726,363074545072.389,344943149590.058,368911387845.418,359838583490.063,
Hungary,HUN,160565642983.587,164020460331.659,157227094449.074,182090041757.269,177337436677.365,
IBRD only,IBD,30560357864180.0,31223142705198.9,30066587396556.6,35660094024046.1,37752366428370.0,
IDA & IBRD total,IBT,32938136046152.3,33691655159953.4,32484256023838.5,38289419290322.9,40573962163610.3,
IDA blend,IDB,1049969368721.42,1070881784785.96,1003544540837.38,1097399972030.71,1175091814528.12,
IDA only,IDX,1327821959516.08,1397275344254.42,1413399718729.76,1533308141483.89,1647744371553.08,
IDA total,IDA,2377791328237.5,2468157129040.39,2416944259567.14,2630708113514.59,2822821779328.87,
Iceland,ISL,26260850582.0687,24681343649.2952,21565767851.144,25595940169.5879,28064529851.3098,
India,IND,2702929641707.38,2835606256616.03,2671595405986.86,3150306839142.13,3416645826052.87,
Indonesia,IDN,1042271532988.63,1119099871350.2,1059054842698.48,1186505455736.54,1319100220407.72,
"Iran, Islamic Rep.",IRN,329691934144.504,283649531542.631,239735486745.704,359096907772.985,413493207349.265,
Iraq,IRQ,227367469034.031,233636097800.338,180924091442.953,207691599310.345,264182173793.103,
Ireland,IRL,386693357874.056,398933010007.356,428608687830.239,513391778882.86,533140011838.276,
Isle of Man,IMN,7491654051.07858,7314966839.12782,6684229268.50545,,,
Israel,ISR,376691526553.276,402470513619.148,413267669231.522,488526545878.891,525002447652.773,
Italy,ITA,2091932426266.98,2011302198827.45,1897461635591.91,2155360298998.03,2049737165407.98,
Jamaica,JAM,15730792835.5811,15830766570.7266,13812421803.4084,14657586127.0331,17097760723.9201,
Japan,JPN,5040880939324.86,5117993853016.51,5055587093501.59,5034620784584.98,4256410760723.75,
